Name,Latitude,Longitude,OSM_ID
Ecole Primaire Mabuidi,-4.4267916,15.3272152,6557933484
Complexe Scolaire les Etoiles,-4.4265349,15.3241253,6557981790
Maman Aneke,-4.3981006,15.3756127,6572473540
École Primaire 1 Mampuka (Armée du Salut),-4.3979377,15.3769031,6572804998
Institut Yimbukulu,-4.397939,15.3768733,6572804999
Institut Lubaki,-4.3995068,15.3743069,6572861185
Ecole Liziba,-4.4145695,15.3235114,6574647623
Complexe Scolaire Moderne,-4.4157586,15.3641943,6574677830
ITC Likasi,-4.4147629,15.3693058,6574771815
CS Chretien Balongi,-4.4147154,15.3896183,6574905479
Bonsomi,-4.4139733,15.3784382,6574944453
Complexe Scolaire Obika,-4.4167365,15.3757954,6574944473
Lycée Technique Lukaya,-4.4140943,15.3766322,6574944483
Lavina School,-4.438558,15.3719759,6574947760
Ecole Famille,-4.4400983,15.3689933,6574947761
Collège les Missionnaires,-4.4139768,15.3784344,6575059069
Collège Bonsomi,-4.4139794,15.378433,6575059167
Collège du Savoir,-4.4139753,15.3784347,6575061513
Ecole Catholique Saint Martin,-4.4161254,15.3734887,6575103353
EP Talamaku,-4.4130698,15.3717811,6579202844
Ecole les Elites,-4.4131028,15.3717612,6579202863
Complèxe Scolaire Obika,-4.4139874,15.3737059,6579247336
Complèxe Scolaire Obika,-4.413966,15.3736362,6579330093
CS Jonathan,-4.3980901,15.2641578,6580665368
EP Lutangu,-4.3561865,15.3626605,6581404740
E.P.5 Camp Kabila,-4.3887724,15.3380101,6581477267
Institut Lumumba,-4.3745331,15.3478602,6581485353
Lycée Victor Hugo,-4.4127614,15.3246989,6581489628
Beka,-4.3970314,15.3521079,6581608784
Unnamed,-4.4080405,15.3649606,6581614939
Complexe Scolaire Omala Yeka,-4.4085546,15.3682946,6581614943
Institit Lemfu 3,-4.4085573,15.3694828,6581614944
Groupe Scolaire Emmaus,-4.4087311,15.3706093,6581614949
Ecole Nzabel,-4.3969606,15.3798687,6581732280
UNESCO Bonsomi,-4.3994173,15.3735262,6581790718
Ecole Sainté Bernadete,-4.4134995,15.3238286,6581917720
Complexe Scolaire Doracles,-4.4114808,15.3209054,6581917752
Unnamed,-4.3967563,15.3831477,6581946023
École les Béatitudes,-4.3902931,15.3588867,6583776012
Ecole maitre lukamba,-4.3808186,15.3815333,6583935749
Emanuel,-4.3780786,15.3865638,6583935781
collège saint Gervais,-4.3726092,15.3791659,6583975585
Collège Notre Dame de la Sagesse,-4.378641,15.3796469,6583975621
Collège Saint Jean Apôtre,-4.3801881,15.3607727,6584026391
Institut Loboko,-4.3799523,15.3608866,6584026400
Complexe Scolaire la Maintenance,-4.3794782,15.3610417,6584026403
Ecole Armée du Salut,-4.3708504,15.373195,6584448787
Ecole Republicain 2,-4.3658813,15.3697443,6584448812
Ecole la Fortune,-4.3704366,15.3745401,6584448855
Ecole Bilingue,-4.3744823,15.371182,6584448930
Collège Don Frédéric,-4.3721504,15.37729,6584448934
Ecole Amasaba,-4.4345609,15.37996,6586270791
Centre de formation Mucolim,-4.4300648,15.3763747,6586270795
École Maria Lukubama,-4.4236517,15.3840496,6586270817
Ecole Esengo,-4.4346621,15.3785241,6586270819
Neolamesa,-4.4215892,15.3229588,6586820141
Ecole Tundindi,-4.4250046,15.321009,6586820145
